id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42541688,A “Woodlawn Special” in little Ireland,35476687,Melissa,Bronx,Woodlawn,40.89886,-73.87148,Entire home/apt,99,30,14,2023-10-06,0.74,1,351,5,
29760740,Single bedroom in Brooklyn,193502084,Linda,Brooklyn,Borough Park,40.64032,-74.00412,Private room,,30,5,2019-03-18,0.07,8,0,0,
42965074,"Cozy, Friendly, Bronx Living",13891989,Gregory,Bronx,Morrisania,40.83008,-73.89712,Entire home/apt,125,30,113,2024-04-20,2.35,1,364,16,
7556669,Garden Facing Quiet Retreat,16437254,Benjamin,Brooklyn,Boerum Hill,40.68826,-73.98558,Entire home/apt,129,30,14,2024-03-31,0.13,16,266,2,
29821998,"Cozy apartment, SubwayEMR7NW, 5mins to Manhattan",52767716,Avery,Queens,Long Island City,40.74956,-73.93836,Private room,,30,3,2018-12-31,0.05,1,0,0,
871852611986201449,"Spacious 3-Bedroom in Brooklyn, Steps from Subway",489623638,Izzy,Brooklyn,Crown Heights,40.66841,-73.92855,Entire home/apt,369,1,46,2024-04-08,3.68,2,132,44,Exempt
29850004,NOLITA apartment w doorman,224498087,Sibel,Manhattan,Nolita,40.72306,-73.99526,Entire home/apt,,30,0,,,1,0,0,
29874717,Lovely room in Brooklyn,223620306,Xavier,Brooklyn,Bushwick,40.69772,-73.91364,Shared room,,30,0,,,1,0,0,
52165147,Amazing Fully Furnished Studio in Chelsea #6155,113723310,MyNyHousing,Manhattan,Chelsea,40.74094,-73.99984,Entire home/apt,175,30,3,2024-01-31,0.20,60,337,1,
29923654,Deluxe Suite ~ Near Central Park,220229838,Chamber Hotel,Manhattan,Midtown,40.76231,-73.97467,Hotel room,,30,0,,,10,363,0,Exempt
780483500189574455,Little room warm and clean,11409310,Angela,Manhattan,Upper East Side,40.76312,-73.95961,Private room,110,30,45,2023-12-02,2.74,1,364,43,
1096019667553006176,Midtown West 1 Deluxe BR | near Times Square,163251048,Global Luxury,Manhattan,Hell's Kitchen,40.76153,-73.99878,Entire home/apt,436,30,0,,,15,334,0,
30504780,NEW Brooklyn studio get away!,228898361,Lauren,Brooklyn,Williamsburg,40.71886,-73.94801,Entire home/apt,,30,5,2019-01-21,0.08,1,0,0,
890794,Cozy- bedroom in Jackson Heights!,4731046,Luis,Queens,Jackson Heights,40.75218,-73.89253,Private room,120,180,0,,,1,363,0,
53721296,Upper West Side sanctuary for stay and creativity,95630796,Hiromitsu,Manhattan,Upper West Side,40.79685,-73.975,Entire home/apt,,30,0,,,1,0,0,
53756834,Luxury Private Bedroom with Private Bathroom,431476577,Leo,Brooklyn,Bushwick,40.68846,-73.91728,Private room,77,30,0,,,17,154,0,
53650203,HOTEL IN THE BRONX 7 DAYS HOTEL,348034609,Pankaj,Bronx,Unionport,40.82647,-73.84604,Private room,,30,9,2023-05-06,0.31,4,365,1,
1018960735667540431,Modern Studio with Charming Juliet Balcony,537135281,Casa Del Sogno,Manhattan,Upper East Side,40.76124922399578,-73.96079645567747,Entire home/apt,150,30,0,,,10,265,0,Exempt
607495941651400846,Lovely Private One-Bedroom Rental in Queens.,64107217,Shafiur,Queens,Hollis,40.71367,-73.76805,Private room,,30,2,2022-07-21,0.09,1,0,0,
689097846834777912,Serviced Apartment - Home Office Environment Suite,28260018,Bp Stays.,Manhattan,Harlem,40.80829,-73.94986,Private room,52,30,57,2024-02-15,2.71,25,78,28,
1109654543639961451,Rooftop View +Heart of the City,559447870,John,Manhattan,Lower East Side,40.71986,-73.98675,Entire home/apt,,1,0,,,1,53,0,OSE-STRREG-0000399
37774311,"Private room. Nice place
Easy to go to MANHATTAN",169794566,Jared,Queens,Sunnyside,40.73656,-73.925,Private room,,30,6,2019-10-14,0.11,1,0,0,
3833538,Classic Brownstone 1 Bed. Apt.,2141246,Polly,Brooklyn,Bedford-Stuyvesant,40.68127,-73.94865,Entire home/apt,,30,2,2016-09-11,0.02,1,0,0,
50056629,Home away from home 3. private cozy place.,273971514,Bright,Staten Island,St. George,40.64374,-74.08358,Private room,100,30,42,2023-10-30,2.18,2,363,25,
830675617804023987,The Spybox Suite @ Eighth House,76166434,Joel,Manhattan,Midtown,40.76597,-73.98268,Entire home/apt,3600,30,0,,,3,365,0,
